id,disfluent_sentence,fluent_sentence,i0_indexing
2667-93,yeah i find too that i have more energy when i exercise and you know it 's silly not to but i do n't know it 's just a put off,i find that i have more energy when i exercise and it 's silly not to but it 's just a put off,I 0 0 I 0 0 0 0 0 0 0 0 0 I I 0 0 0 0 0 0 I I I I 0 0 0 0 0 0
2667-93,i do n't know why i do n't do more and i and i know that it 's good for my health,i do n't know why i do n't do more and i know that it 's good for my health,0 0 0 0 0 0 0 0 0 0 0 0 I I 0 0 0 0 0 0 0 0
2667-93,i know you know from everything that you read and you see on television now exercise is so important to good health,i know from everything that you read and you see on television now exercise is so important to good health,0 0 I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2667-93,so you know you not only you know you 're not only doing something to keep yourself fit but you 're probably prolonging your life,so you 're not only doing something to keep yourself fit but you 're probably prolonging your life,0 I I I I I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2667-93,so,,I
2667-93,there 's no reason that we should n't do it but i do n't know,there 's no reason that we should n't do it,0 0 0 0 0 0 0 0 0 0 I I I I I
2921-38,i can hear the accent now i hear the i hear the western pennsylvania um,i can hear the accent now i hear the western pennsylvania,0 0 0 0 0 0 0 0 0 I I I 0 0 I
2921-38,we live uh we lived in minneapolis for about five years,we lived in minneapolis for about five years,0 I I I 0 0 0 0 0 0 0
2921-38,we we originally lived in dallas and we met and got married and then um actually married in pittsburgh and that 's that 's not what they want to hear on this call uh at any rate we came back here with my husband was transferred around uh up to minnesota and now back to texas with t i and we 're leasing a uh two story town home in a section of dallas they call north dallas,we originally lived in dallas and we met and got married in pittsburgh,0 I 0 0 0 0 0 0 0 0 0 0 I I I I I 0 0 I I I 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 I I I I I 0 0 0 0 I I 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 I 0 0 0 0 0 0 0 0 0 0 0 0 0
2078-205,that 's true,that 's true,0 0 0
2078-205,we saw um heroes have always been cowboys tonight,we saw heroes have always been cowboys tonight,0 0 I 0 0 0 0 0 0
2078-205,it was okay it was kind of slow and i felt like it kind of got chopped off at the end you know,it was okay it was kind of slow and i felt like it kind of got chopped off at the end,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I I
2078-205,it just it i do n't know it one of those movies it 's not going to be around long it will be a dollar movie in no time,one of those movies it 's not going to be around long it will be a dollar movie in no time,I I I I I I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3306-7,well i heard that 's the second happiest day of your life the day you sell your boat,well i heard that 's the second happiest day of your life the day you sell your boat,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2839-62,about what they do,about what they do,0 0 0 0
4646-1,no,no,0
4646-1,but i my grandparents were looking into it before so i know what they 've said,but my grandparents were looking into it before so i know what they 've said,0 I 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2427-367,and see how that works,and see how that works,0 0 0 0 0
2427-367,an experiment,an experiment,0 0
2427-367,i 'd like to try you know just try something new every year that i have n't tried before and,i 'd like to try something new every year that i have n't tried before and,0 0 0 0 0 I I I I 0 0 0 0 0 0 0 0 0 0 0
2347-71,a relationship with their father and and i do n't think you we get into so much of the mother dominating figure if if the father has more input there,a relationship with their father and i do n't think we get into so much of the mother dominating figure if the father has more input there,0 0 0 0 0 0 I 0 0 0 0 I 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0 0
2347-71,but uh i do n't understand why the young girls feel like they have to build roads and they have to that kind of job uh to go out there and shovel that tar and and drive those big trucks,but i do n't understand why the young girls feel like they have to build roads and they have to go out there and shovel that tar and drive those big trucks,0 I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I I I I I I 0 0 0 0 0 0 0 0 I 0 0 0 0 0
