id,disfluent_sentence,fluent_sentence,io_indexing,pos_tags
2667-93,yeah i find too that i have more energy when i exercise and you know it 's silly not to but i do n't know it 's just a put off,i find that i have more energy when i exercise and it 's silly not to but it 's just a put off,I 0 0 I 0 0 0 0 0 0 0 0 0 I I 0 0 0 0 0 0 I I I I 0 0 0 0 0 0,NN NN VBP RB IN NNS VBP JJR NN WRB NN NN CC PRP VBP PRP VBZ RB RB TO CC NNS VBP RB VB PRP VBZ RB DT VBD RP
2667-93,i do n't know why i do n't do more and i and i know that it 's good for my health,i do n't know why i do n't do more and i know that it 's good for my health,0 0 0 0 0 0 0 0 0 0 0 0 I I 0 0 0 0 0 0 0 0,NNS VBP RB VB WRB NNS VBP RB VB JJR CC NN CC NN VBP IN PRP VBZ JJ IN PRP$ NN
2667-93,i know you know from everything that you read and you see on television now exercise is so important to good health,i know from everything that you read and you see on television now exercise is so important to good health,0 0 I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,NN VBP PRP VBP IN NN IN PRP VBP CC PRP VBP IN NN RB NN VBZ RB JJ TO JJ NN
2667-93,so you know you not only you know you 're not only doing something to keep yourself fit but you 're probably prolonging your life,so you 're not only doing something to keep yourself fit but you 're probably prolonging your life,0 I I I I I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,RB PRP VBP PRP RB RB PRP VBP PRP VBP RB RB VBG NN TO VB PRP JJ CC PRP VBP RB VBG PRP$ NN
2667-93,so,,I,RB
2667-93,there 's no reason that we should n't do it but i do n't know,there 's no reason that we should n't do it,0 0 0 0 0 0 0 0 0 0 I I I I I,EX VBZ DT NN IN PRP MD RB VB PRP CC VB VBP RB VB
2921-38,i can hear the accent now i hear the i hear the western pennsylvania um,i can hear the accent now i hear the western pennsylvania,0 0 0 0 0 0 0 0 0 I I I 0 0 I,NN MD VB DT NN RB VBZ VBP DT NN VBP DT JJ NN NN
2921-38,we live uh we lived in minneapolis for about five years,we lived in minneapolis for about five years,0 I I I 0 0 0 0 0 0 0,PRP VBP IN PRP VBD IN NN IN IN CD NNS
2921-38,we we originally lived in dallas and we met and got married and then um actually married in pittsburgh and that 's that 's not what they want to hear on this call uh at any rate we came back here with my husband was transferred around uh up to minnesota and now back to texas with t i and we 're leasing a uh two story town home in a section of dallas they call north dallas,we originally lived in dallas and we met and got married in pittsburgh,0 I 0 0 0 0 0 0 0 0 0 0 I I I I I 0 0 I I I 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 I I I I I 0 0 0 0 I I 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 I 0 0 0 0 0 0 0 0 0 0 0 0 0,PRP PRP RB VBD IN NNS CC PRP VBD CC VBD VBN CC RB VB RB VBN IN NN CC DT VBZ DT VBZ RB WP PRP VBP TO VB IN DT NN NN IN DT NN PRP VBD RB RB IN PRP$ NN VBD VBN IN UH RB TO VB CC RB RB TO VB IN NN NN CC PRP VBP VBG DT JJ CD NN NN NN IN DT NN IN NN PRP VBP JJ NNS
2078-205,that 's true,that 's true,0 0 0,DT VBZ JJ
2078-205,we saw um heroes have always been cowboys tonight,we saw heroes have always been cowboys tonight,0 0 I 0 0 0 0 0 0,PRP VBD JJ NNS VBP RB VBN JJ NN
2078-205,it was okay it was kind of slow and i felt like it kind of got chopped off at the end you know,it was okay it was kind of slow and i felt like it kind of got chopped off at the end,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I I,PRP VBD VBG PRP VBD NN IN JJ CC JJ VBP IN PRP NN IN VBD VBN RP IN DT NN PRP VBP
2078-205,it just it i do n't know it one of those movies it 's not going to be around long it will be a dollar movie in no time,one of those movies it 's not going to be around long it will be a dollar movie in no time,I I I I I I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,PRP RB PRP VBZ VBP RB VB PRP CD IN DT NNS PRP VBZ RB VBG TO VB RB JJ PRP MD VB DT NN NN IN DT NN
3306-7,well i heard that 's the second happiest day of your life the day you sell your boat,well i heard that 's the second happiest day of your life the day you sell your boat,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,RB RB VBP DT VBZ DT JJ JJ NN IN PRP$ NN DT NN PRP VBP PRP$ NN
2839-62,about what they do,about what they do,0 0 0 0,IN WP PRP VBP
4646-1,no,no,0,DT
4646-1,but i my grandparents were looking into it before so i know what they 've said,but my grandparents were looking into it before so i know what they 've said,0 I 0 0 0 0 0 0 0 0 0 0 0 0 0 0,CC VB PRP$ NNS VBD VBG IN PRP IN IN JJ VBP WP PRP VBP VBD
2427-367,and see how that works,and see how that works,0 0 0 0 0,CC VB WRB DT VBZ
2427-367,an experiment,an experiment,0 0,DT NN
2427-367,i 'd like to try you know just try something new every year that i have n't tried before and,i 'd like to try something new every year that i have n't tried before and,0 0 0 0 0 I I I I 0 0 0 0 0 0 0 0 0 0 0,JJ MD VB TO VB PRP VB RB VB NN JJ DT NN IN NN VBP RB VBN IN CC
2347-71,a relationship with their father and and i do n't think you we get into so much of the mother dominating figure if if the father has more input there,a relationship with their father and i do n't think we get into so much of the mother dominating figure if the father has more input there,0 0 0 0 0 0 I 0 0 0 0 I 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0 0,DT NN IN PRP$ NN CC CC VB VBP RB VB PRP PRP VBP IN RB JJ IN DT NN VBG NN IN IN DT NN VBZ JJR NN RB
2347-71,but uh i do n't understand why the young girls feel like they have to build roads and they have to that kind of job uh to go out there and shovel that tar and and drive those big trucks,but i do n't understand why the young girls feel like they have to build roads and they have to go out there and shovel that tar and drive those big trucks,0 I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I I I I I I 0 0 0 0 0 0 0 0 I 0 0 0 0 0,CC UH NNS VBP RB VB WRB DT JJ NNS VBP IN PRP VBP TO VB NNS CC PRP VBP TO DT NN IN NN NN TO VB RP RB CC VB DT NN CC CC VBP DT JJ NNS
2347-71,and we just recently finished a long drive through the west a little over five thousand miles and at one point we sat down uh i did n't realize it but i sat at a counter to have a cup of coffee that happened to be for truck drivers only,and we just recently finished a long drive through the west a little over five thousand miles and at one point we sat down i did n't realize it but i sat at a counter to have a cup of coffee that happened to be for truck drivers only,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,CC PRP RB RB VBD DT JJ NN IN DT JJS DT JJ IN CD NNS NNS CC IN CD NN PRP VBD IN NN NN VBD RB VB PRP CC JJ VBD IN DT NN TO VB DT NN IN NN WDT VBD TO VB IN NN NNS RB
2347-71,and here 's this young girl with the tattoos and she w has just had just driven a load of meat from minneapolis to some place in arizona and she 'd been and i ask her how old she was and she was the ag between the age of our daughters and she had been driving a truck for seven years,and here 's this young girl with the tattoos and she had just driven a load of meat from minneapolis to some place in arizona and i ask her how old she was and she was between the age of our daughters and she had been driving a truck for seven years,0 0 0 0 0 0 0 0 0 0 0 I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I I I I 0 0 0 0 0 0 0 0 0 0 I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,CC RB VBZ DT JJ NN IN DT NN CC PRP VBZ VBZ RB VBN RB VBN DT NN IN NN IN NN TO DT NN IN NN CC PRP MD VBN CC JJ VBP PRP$ WRB JJ PRP VBD CC PRP VBD DT NN IN DT NN IN PRP$ NNS CC PRP VBD VBN VBG DT NN IN CD NNS
2347-71,and i thought gosh i mean why would a woman choose that rough and tumble life style when i guess i 'm s i 'm a maybe victorian and my husband is a little bit of a male chauvinist in that he 's a very considerate person but he also thinks a woman should be taken care of and and in the home and she should vote but after she talks to her husband about how she ought to vote,and i thought gosh why would a woman choose that rough and tumble life style i 'm maybe victorian and my husband is a little bit of a male chauvinist in that he 's a very considerate person but he also thinks a woman should be taken care of and in the home and she should vote but after she talks to her husband about how she ought to vote,0 0 0 0 I I 0 0 0 0 0 0 0 0 0 0 0 I I I 0 0 I I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,CC VB VBN NN JJ VBP WRB MD DT NN NN IN NN CC JJ NN NN WRB NN NN NN VBP JJ NN VBP DT RB JJ CC PRP$ NN VBZ DT JJ NN IN DT JJ NN IN DT PRP VBZ DT RB JJ NN CC PRP RB VBZ DT NN MD VB VBN NN IN CC CC IN DT NN CC PRP MD VB CC IN PRP VBZ TO PRP$ NN IN WRB PRP MD TO VB
