id,disfluent_sentence,fluent_sentence,i0_indexing,pos_tags
2875-194,but uh that that sold me in buying a new car you know i mean certainly interested in buying a new car but again the yeah the american cars were for superior in styling and,that sold me in buying a new car certainly interested in buying a new car but again the american cars were for superior in styling and,I I I 0 0 0 0 0 0 0 0 I I I I 0 0 0 0 0 0 0 0 0 I I 0 0 0 0 0 0 0 0 0,CC UH IN DT VBD PRP IN VBG DT JJ NN PRP VBP JJ VBP RB JJ IN VBG DT JJ NN CC RB DT NN DT JJ NNS VBD IN JJ IN NN CC
2851-110,well it 's getting,it 's getting,I 0 0 0,IN PRP VBZ VBG
2525-27,it is and and i do n't know if it 's uh the family you know thing where they 're not bonding anymore where mothers are working all the time and the kids are n't getting the attention that they need or the television,it is the family thing where they 're not bonding anymore where mothers are working all the time and the kids are n't getting the attention that they need or the television,0 0 I I I I I I I I I I 0 0 I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,PRP VBZ CC CC VB VBP RB VB IN PRP VBZ JJ DT NN PRP VBP NN WRB PRP VBP RB VBG RB WRB NNS VBP VBG PDT DT NN CC DT NNS VBP RB VBG DT NN IN PRP VBP CC DT NN
2525-27,and i i really think that we 're we 're falling by the wayside with not incarcerating these people,and i really think that we 're falling by the wayside with not incarcerating these people,0 0 0 I 0 0 0 0 0 I I 0 0 0 0 0 0 0 0,CC NN VBP RB VBP IN PRP VBP PRP VBP VBG IN DT NN IN RB VBG DT NNS
2950-102,yeah,,I,NN
2950-102,it is an old farm house and uh we really like it here,it is an old farm house and we really like it here,0 0 0 0 0 0 0 I 0 0 0 0 0,PRP VBZ DT JJ NN NN CC NN PRP RB IN PRP RB
3426-66,oh i like scary ones that are realistic,i like scary ones that are realistic,I 0 0 0 0 0 0 0,UH NN IN JJ NNS WDT VBP JJ
3304-28,yeah what what does a computer club do,what does a computer club do,I I 0 0 0 0 0 0,VB WP WP VBZ DT NN NN VBP
3304-28,i did n't know there were such things,i did n't know there were such things,0 0 0 0 0 0 0 0,NN VBD RB VB EX VBD JJ NNS
2756-152,is that is that how you got into this uh this you know uh data base,is that how you got into this data base,0 0 I I 0 0 0 0 0 I I I I 0 0 0,VBZ DT VBZ IN WRB PRP VBD IN DT NN DT PRP VBP JJ NNS NN
3845-47,yeah that 's right,that 's right,I 0 0 0,NN WDT VBZ JJ
3073-109,that 's why i do n't get to watch that much,that 's why i do n't get to watch that much,0 0 0 0 0 0 0 0 0 0 0,DT VBZ WRB JJ VBP RB VB TO VB IN JJ
3073-109,i mean i watch nine o'clock i do okay because the kids are all in bed but before that i really there 's not much time,i mean i watch nine o'clock i do okay because the kids are all in bed but before that i really there 's not much time,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,JJ VBP JJ VBP CD NN NNS VBP RB IN DT NNS VBP DT IN NN CC IN DT NN RB EX VBZ RB JJ NN
3073-109,or like at six thirty i 'll watch wheel of fortune or something like that,or like at six thirty i 'll watch wheel of fortune or something like that,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,CC VB IN CD NN NN MD VB NN IN NN CC NN IN DT
3038-37,well it was within oh ninety days,well it was within ninety days,0 0 0 0 I 0 0,RB PRP VBD IN JJ NN NNS
4133-35,it 's also i used to live in georgia and you know the the big thing down there was all right we have capital punishment but if you look at who gets accused and who are the ones who actually get executed it 's very racially related and ethnically related,i used to live in georgia and the big thing down there was we have capital punishment but if you look at who gets accused and who are the ones who actually get executed it 's very racially related and ethnically related,I I I 0 0 0 0 0 0 0 I I I 0 0 0 0 0 0 I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,PRP VBZ RB RB VBN TO VB IN NN CC PRP VBP DT DT JJ NN RP RB VBD DT NN PRP VBP JJ NN CC IN PRP VBP IN WP VBZ VBN CC WP VBP DT NNS WP RB VBP VBN PRP VBZ RB RB VBN CC RB JJ
2789-171,all righty well thank you,thank you,I I I 0 0,DT VBP RB IN PRP
2789-171,it was nice talking to you,it was nice talking to you,0 0 0 0 0 0,PRP VBD JJ VBG TO PRP
3326-108,yeah they just really ca n't wait to be able to take their kids where they had fun,they just really ca n't wait to be able to take their kids where they had fun,I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,NN PRP RB RB MD RB VB TO VB JJ TO VB PRP$ NNS WRB PRP VBD NN
3097-45,i did very much the same thing until my boys got into high school and said mom please do not be involved,i did very much the same thing until my boys got into high school and said mom please do not be involved,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,NN VBD RB RB DT JJ NN IN PRP$ NNS VBD IN JJ NN CC VBD NN NN VB RB VB VBN
3097-45,then i went back to work,then i went back to work,0 0 0 0 0 0,RB VB VBD RB TO VB
2896-17,yeah,,I,NN
2896-17,um what i what i 'm trying to do is i 've got yellow tile in both the bathrooms so i want something that 's going to tie that together and i 'm changing the like the towel racks and stuff the the fixtures out to make them wood i 'm going to put wood in there,what i 'm trying to do is i 've got yellow tile in both the bathrooms so i want something that 's going to tie that together and i 'm changing the towel racks and stuff the fixtures out to make them wood i 'm going to put wood in there,I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I I 0 0 0 0 0 I 0 0 0 0 0 0 0 0 0 0 0 0 0 0,IN WP VBP WP VBP VBP VBG TO VB VBZ JJ VBP VBN JJ NN IN CC DT NNS RB JJ VBP NN WDT VBZ VBG TO VB IN RB CC VB VBP VBG DT IN DT NN NNS CC VB DT DT NNS RP TO VB PRP NN NN VBP VBG TO VB NN IN EX
