id,disfluent_sentence,fluent_tokens,disfluent_tokens,annotations,disfl_type,i0_indexing,disfluent_original
2667-93,,,,,,I 0 0 I 0 0 0 0 0 0 0 0 0 I I 0 0 0 0 0 0 I I I I 0 0 0 0 0 0,yeah i find too that i have more energy when i exercise and you know it 's silly not to but i do n't know it 's just a put off
2667-93,i do n't know why i do n't do more and i know that it 's good for my wellness wait a minute my health,"['i', 'do', ""n't"", 'know', 'why', 'i', 'do', ""n't"", 'do', 'more', 'and', 'i', 'know', 'that', 'it', ""'s"", 'good', 'for', 'my', 'health']","['i', 'do', ""n't"", 'know', 'why', 'i', 'do', ""n't"", 'do', 'more', 'and', 'i', 'know', 'that', 'it', ""'s"", 'good', 'for', 'my', 'wellness', 'wait', 'a', 'minute', 'my', 'health']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F']",noun_with_cue,0 0 0 0 0 0 0 0 0 0 0 0 I I 0 0 0 0 0 0 0 0,i do n't know why i do n't do more and i and i know that it 's good for my health
2667-93,,,,,,0 0 I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,i know you know from everything that you read and you see on television now exercise is so important to good health
2667-93,so you 're not only doing something to keep yourself fit but you 're probably prolonging your living no wait a minute you 're probably prolonging your life,"['so', 'you', ""'re"", 'not', 'only', 'doing', 'something', 'to', 'keep', 'yourself', 'fit', 'but', 'you', ""'re"", 'probably', 'prolonging', 'your', 'life']","['so', 'you', ""'re"", 'not', 'only', 'doing', 'something', 'to', 'keep', 'yourself', 'fit', 'but', 'you', ""'re"", 'probably', 'prolonging', 'your', 'living', 'no', 'wait', 'a', 'minute', 'you', ""'re"", 'probably', 'prolonging', 'your', 'life']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,0 I I I I I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,so you know you not only you know you 're not only doing something to keep yourself fit but you 're probably prolonging your life
2667-93,there 's no reason that we should n't fare no wait no reason that we should n't do it,"['there', ""'s"", 'no', 'reason', 'that', 'we', 'should', ""n't"", 'do', 'it']","['there', ""'s"", 'no', 'reason', 'that', 'we', 'should', ""n't"", 'fare', 'no', 'wait', 'no', 'reason', 'that', 'we', 'should', ""n't"", 'do', 'it']","['F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,0 0 0 0 0 0 0 0 0 0 I I I I I,there 's no reason that we should n't do it but i do n't know
2921-38,i can hear the accent now i hear the western PA sorry hear the western pennsylvania,"['i', 'can', 'hear', 'the', 'accent', 'now', 'i', 'hear', 'the', 'western', 'pennsylvania']","['i', 'can', 'hear', 'the', 'accent', 'now', 'i', 'hear', 'the', 'western', 'PA', 'sorry', 'hear', 'the', 'western', 'pennsylvania']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",noun_with_cue,0 0 0 0 0 0 0 0 0 I I I 0 0 I,i can hear the accent now i hear the i hear the western pennsylvania um
2921-38,,,,,,0 I I I 0 0 0 0 0 0 0,we live uh we lived in minneapolis for about five years
2921-38,we originally lived in dallas and we meet sorry we met and got married in pittsburgh,"['we', 'originally', 'lived', 'in', 'dallas', 'and', 'we', 'met', 'and', 'got', 'married', 'in', 'pittsburgh']","['we', 'originally', 'lived', 'in', 'dallas', 'and', 'we', 'meet', 'sorry', 'we', 'met', 'and', 'got', 'married', 'in', 'pittsburgh']","['F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,0 I 0 0 0 0 0 0 0 0 0 0 I I I I I 0 0 I I I 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 I I I I I 0 0 0 0 I I 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 I 0 0 0 0 0 0 0 0 0 0 0 0 0,we we originally lived in dallas and we met and got married and then um actually married in pittsburgh and that 's that 's not what they want to hear on this call uh at any rate we came back here with my husband was transferred around uh up to minnesota and now back to texas with t i and we 're leasing a uh two story town home in a section of dallas they call north dallas
2078-205,,,,,,0 0 I 0 0 0 0 0 0,we saw um heroes have always been cowboys tonight
2078-205,it was okay it was variety no kind of slow and i felt like it kind of got chopped off at the end,"['it', 'was', 'okay', 'it', 'was', 'kind', 'of', 'slow', 'and', 'i', 'felt', 'like', 'it', 'kind', 'of', 'got', 'chopped', 'off', 'at', 'the', 'end']","['it', 'was', 'okay', 'it', 'was', 'variety', 'no', 'kind', 'of', 'slow', 'and', 'i', 'felt', 'like', 'it', 'kind', 'of', 'got', 'chopped', 'off', 'at', 'the', 'end']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I I,it was okay it was kind of slow and i felt like it kind of got chopped off at the end you know
