id,disfluent_sentence,fluent_tokens,disfluent_tokens,annotations,disfl_type,i0_indexing,disfluent_original
2875-194,that sold me in buy no me in buying a new car certainly interested in buying a new car but again the american cars were for superior in styling and,"['that', 'sold', 'me', 'in', 'buying', 'a', 'new', 'car', 'certainly', 'interested', 'in', 'buying', 'a', 'new', 'car', 'but', 'again', 'the', 'american', 'cars', 'were', 'for', 'superior', 'in', 'styling', 'and']","['that', 'sold', 'me', 'in', 'buy', 'no', 'me', 'in', 'buying', 'a', 'new', 'car', 'certainly', 'interested', 'in', 'buying', 'a', 'new', 'car', 'but', 'again', 'the', 'american', 'cars', 'were', 'for', 'superior', 'in', 'styling', 'and']","['F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,I I I 0 0 0 0 0 0 0 0 I I I I 0 0 0 0 0 0 0 0 0 I I 0 0 0 0 0 0 0 0 0,but uh that that sold me in buying a new car you know i mean certainly interested in buying a new car but again the yeah the american cars were for superior in styling and
2851-110,,,,,,I 0 0 0,well it 's getting
2525-27,it is the family thing where they 're not bonding anymore where mothers are working all the time and the kids equal wait a minute anymore where mothers are working all the time and the kids are n't getting the attention that they need or the television,"['it', 'is', 'the', 'family', 'thing', 'where', 'they', ""'re"", 'not', 'bonding', 'anymore', 'where', 'mothers', 'are', 'working', 'all', 'the', 'time', 'and', 'the', 'kids', 'are', ""n't"", 'getting', 'the', 'attention', 'that', 'they', 'need', 'or', 'the', 'television']","['it', 'is', 'the', 'family', 'thing', 'where', 'they', ""'re"", 'not', 'bonding', 'anymore', 'where', 'mothers', 'are', 'working', 'all', 'the', 'time', 'and', 'the', 'kids', 'equal', 'wait', 'a', 'minute', 'anymore', 'where', 'mothers', 'are', 'working', 'all', 'the', 'time', 'and', 'the', 'kids', 'are', ""n't"", 'getting', 'the', 'attention', 'that', 'they', 'need', 'or', 'the', 'television']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,0 0 I I I I I I I I I I 0 0 I I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,it is and and i do n't know if it 's uh the family you know thing where they 're not bonding anymore where mothers are working all the time and the kids are n't getting the attention that they need or the television
2525-27,,,,,,0 0 0 I 0 0 0 0 0 I I 0 0 0 0 0 0 0 0,and i i really think that we 're we 're falling by the wayside with not incarcerating these people
2950-102,,,,,,0 0 0 0 0 0 0 I 0 0 0 0 0,it is an old farm house and uh we really like it here
3426-66,i like scarey actually no like scary ones that are realistic,"['i', 'like', 'scary', 'ones', 'that', 'are', 'realistic']","['i', 'like', 'scarey', 'actually', 'no', 'like', 'scary', 'ones', 'that', 'are', 'realistic']","['F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",adj_with_cue,I 0 0 0 0 0 0 0,oh i like scary ones that are realistic
3304-28,,,,,,I I 0 0 0 0 0 0,yeah what what does a computer club do
3304-28,i did n't know there were such thing wait such things,"['i', 'did', ""n't"", 'know', 'there', 'were', 'such', 'things']","['i', 'did', ""n't"", 'know', 'there', 'were', 'such', 'thing', 'wait', 'such', 'things']","['F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'F']",noun_with_cue,0 0 0 0 0 0 0 0,i did n't know there were such things
2756-152,,,,,,0 0 I I 0 0 0 0 0 I I I I 0 0 0,is that is that how you got into this uh this you know uh data base
3845-47,,,,,,I 0 0 0,yeah that 's right
3073-109,that 's why i do n't get to watch that little actually no much,"['that', ""'s"", 'why', 'i', 'do', ""n't"", 'get', 'to', 'watch', 'that', 'much']","['that', ""'s"", 'why', 'i', 'do', ""n't"", 'get', 'to', 'watch', 'that', 'little', 'actually', 'no', 'much']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'F']",adj_with_cue,0 0 0 0 0 0 0 0 0 0 0,that 's why i do n't get to watch that much
